level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w
2399,2399,2023-10-20 12:05:31.174015,1697796331.174015,1.74,1.75,1.92,1.92,2.1,2.09,1.06,1.05,1697796331.159283,-0.007589995667465,0.0047828124116464,0.3357462333065354,0.9419097533690138,-0.3056414277563429,-0.0460566455645265,-0.1659645402991231,0.9364389325533772
2406,2406,2023-10-20 12:05:32.644637,1697796332.644637,1.92,1.92,1.92,1.92,2.09,2.09,1.06,1.05,1697796332.659623,-0.0073429374741732,0.0050748020102665,0.3357676739459544,0.9419025410236084,-0.2906893045647449,-0.0367958966181656,-0.1579431785930362,0.942973882215016
2411,2411,2023-10-20 12:05:33.695051,1697796333.695051,1.92,2.09,1.92,1.92,2.09,2.09,1.05,1.05,1697796333.65985,-0.0071322062584687,0.0049971142913986,0.3356688200281089,0.9419398089812228,-0.2913922750944992,-0.0375585758166189,-0.1581602210253044,0.942690426324096
2420,2420,2023-10-20 12:05:35.584788,1697796335.584788,1.67,1.05,2.11,2.09,2.09,2.09,1.02,1.05,1697796335.56028,-0.0072632658255898,0.0047710421478977,0.3356421136154568,0.9419494963606694,-0.3358658927425428,-0.0454429755730129,-0.1225109247527612,0.9328022895445468
2428,2428,2023-10-20 12:05:37.265350,1697796337.26535,1.22,1.22,2.1,2.09,2.09,2.09,1.04,1.05,1697796337.260664,-0.0077113638553876,0.0044752175671451,0.3357663775959458,0.9419030985039348,-0.3510503284531929,-0.0332801563661253,-0.1208531045605309,0.9279281357967508
2435,2435,2023-10-20 12:05:38.734789,1697796338.734789,1.4,1.4,2.1,2.09,2.09,2.09,1.05,1.05,1697796338.761003,-0.007639817476619,0.0044400044015618,0.3356815668487836,0.941934076901236,-0.3515542250090382,-0.0377606725801305,-0.1243776323858515,0.9270997589508266
2440,2440,2023-10-20 12:05:39.784525,1697796339.784525,1.4,1.57,2.1,2.09,2.09,2.09,1.05,1.05,1697796339.76123,-0.0077111990664967,0.0044753389708815,0.3356372496305486,0.941949120393715,-0.3516033243421724,-0.0383580161496947,-0.1240417994453156,0.92710161088144
2449,2449,2023-10-20 12:05:41.675471,1697796341.675471,1.74,1.75,2.09,2.09,2.1,2.09,1.06,1.05,1697796341.66166,-0.007696602010023,0.004871647381021,0.335738632694925,0.9419111422450828,-0.329260371416099,-0.0374282405441399,-0.1216898851495806,0.9356165381591888
2457,2457,2023-10-20 12:05:43.355101,1697796343.355101,1.92,1.92,2.09,2.09,2.1,2.09,1.05,1.05,1697796343.362045,-0.0070915974941755,0.0050679010479362,0.3356620088536357,0.9419421645920152,-0.3099601009207153,-0.0361495821406041,-0.1167200531866498,0.9428649811783156
2464,2464,2023-10-20 12:05:44.824584,1697796344.824584,2.09,2.09,2.09,2.09,2.1,2.09,1.05,1.05,1697796344.862383,-0.0068123062378043,0.0052233930533731,0.3356056670178382,0.9419634520055672,-0.3104466339716953,-0.0138464806371319,-0.1027196631158907,0.9449231890682795
2469,2469,2023-10-20 12:05:45.875393,1697796345.875393,2.04,1.05,2.03,1.05,2.03,1.05,1.1,1.22,1697796345.86261,-0.0070061242170322,0.0050475390686126,0.335648504261339,0.9419477258106908,-0.2922844564615602,0.0023115615326511,-0.1271062818320436,0.9478441044354732
2476,2476,2023-10-20 12:05:47.345302,1697796347.345302,1.05,1.22,1.04,1.05,1.04,1.05,1.21,1.22,1697796347.36295,-0.0074307502410689,0.0048265483053778,0.3356933565792788,0.941929646380688,-0.1830418514925535,0.2807704622951745,-0.5124425679506506,0.7906113094668422
2483,2483,2023-10-20 12:05:48.815494,1697796348.815494,1.22,1.4,1.05,1.05,1.04,1.05,1.22,1.22,1697796348.863289,-0.0076191852960266,0.0046881155234997,0.3356933901892507,0.9419288281879424,-0.3123214615678052,0.1682238534812081,-0.4778585744063674,0.8036213179292827
2493,2493,2023-10-20 12:05:50.915514,1697796350.915514,1.57,1.57,1.05,1.05,1.05,1.05,1.22,1.22,1697796350.963764,-0.0075227510007411,0.0047427947240754,0.3356940862086719,0.9419290815130992,-0.3350202750757235,0.1733423232983514,-0.4696910659090848,0.7981880460436025
2500,2500,2023-10-20 12:05:52.385903,1697796352.385903,1.74,1.75,1.05,1.05,1.05,1.05,1.23,1.22,1697796352.364081,-0.0073117753490253,0.0047646550427103,0.3356068454099354,0.9419617196667608,-0.3171768610120227,0.1435458840301957,-0.461230316296078,0.8161249986037491
2507,2507,2023-10-20 12:05:53.855147,1697796353.855147,1.92,1.92,1.05,1.05,1.06,1.05,1.23,1.22,1697796353.864421,-0.0073902880010172,0.004962367841565,0.3356613969078064,0.9419406484352224,-0.264085992103089,0.1774995829674973,-0.4594705381487268,0.8292402012653579
2512,2512,2023-10-20 12:05:54.905504,1697796354.905504,1.92,2.09,1.05,1.05,1.05,1.05,1.23,1.22,1697796354.864647,-0.0072526060015149,0.0049359803309156,0.3356247538107667,0.9419549142256344,-0.2650093133347166,0.1786266929965966,-0.4596052848148972,0.8286287169566228
2519,2519,2023-10-20 12:05:56.375745,1697796356.375745,2.09,1.05,1.05,1.22,1.05,1.05,1.22,1.22,1697796356.364986,-0.0067857561049219,0.0051760194994774,0.3356094925174969,0.9419625421790262,-0.2593233520388349,0.190089097079535,-0.4414930320988208,0.8376762124275818
2529,2529,2023-10-20 12:05:58.476370,1697796358.47637,1.22,1.22,1.23,1.22,1.04,1.05,1.22,1.22,1697796358.465461,-0.0074728649529103,0.0049437941150667,0.3356809345402597,0.9419331321146536,-0.2539377714837026,0.2459359747169951,-0.4859172894464395,0.7993218953406178
2536,2536,2023-10-20 12:05:59.945772,1697796359.945772,1.4,1.4,1.22,1.22,1.04,1.05,1.22,1.22,1697796359.965801,-0.0071877049177855,0.0048202932036762,0.3356397945943174,0.9419506515503504,-0.3652138801755191,0.1662670532561947,-0.4417856338586018,0.802371199909865
2543,2543,2023-10-20 12:06:01.415835,1697796361.415835,1.57,1.57,1.22,1.22,1.05,1.05,1.22,1.22,1697796361.366118,-0.0073286032217768,0.004798863479618,0.3356731691345315,0.941937782450254,-0.3631963513023091,0.1660392388971076,-0.4403030592724432,0.8041471243140065
2548,2548,2023-10-20 12:06:02.465841,1697796362.465841,1.57,1.75,1.22,1.22,1.05,1.05,1.22,1.22,1697796362.466367,-0.0074249826773285,0.0047628821848154,0.3356949343759643,0.9419294536321984,-0.3365481511206897,0.1598357535051786,-0.4513715620812303,0.8108338836179869
2555,2555,2023-10-20 12:06:03.936571,1697796363.936571,1.75,1.92,1.22,1.22,1.05,1.05,1.23,1.22,1697796363.966706,-0.0072668526596599,0.0049498862031469,0.3356646658198547,0.9419405095859524,-0.3495385538468234,0.1672181453090893,-0.4342967996780061,0.8131710650555032
2564,2564,2023-10-20 12:06:05.825862,1697796365.825862,2.09,2.09,1.21,1.22,1.05,1.05,1.23,1.22,1697796365.867136,-0.0066373311600026,0.0051337254385334,0.3355359328890896,0.9419900362734432,-0.2697531178962911,0.208297717665453,-0.4292020682439614,0.8364394184970594
2571,2571,2023-10-20 12:06:07.296235,1697796367.296235,1.72,1.05,1.4,1.4,1.05,1.05,1.21,1.22,1697796367.267453,-0.0069809237006279,0.0050218411893405,0.3356148660596041,0.9419600360392946,-0.3457854861144325,0.1387672914151758,-0.4115338098564198,0.8317547473690555
2579,2579,2023-10-20 12:06:08.976467,1697796368.976467,1.22,1.22,1.4,1.4,1.04,1.05,1.22,1.22,1697796368.967838,-0.0069379427403687,0.004983624095221,0.335620601017625,0.9419585132127514,-0.3289798304666602,0.1618880302091658,-0.430668345519709,0.8246752772991564
2586,2586,2023-10-20 12:06:10.445876,1697796370.445876,1.4,1.4,1.39,1.4,1.05,1.05,1.22,1.22,1697796370.468177,-0.007219092896367,0.0049468146515405,0.3357024801658285,0.9419274168071914,-0.3468965210346523,0.156437533019109,-0.4276646664844323,0.8199347748435296
2591,2591,2023-10-20 12:06:11.496027,1697796371.496027,1.4,1.57,1.39,1.4,1.05,1.05,1.22,1.22,1697796371.468403,-0.0071522738687433,0.0049877039697059,0.3356318227660474,0.9419528901884412,-0.301560877956196,0.1529400944053935,-0.4484347856362534,0.8273914475270608
2601,2601,2023-10-20 12:06:13.596324,1697796373.596324,1.75,1.75,1.39,1.4,1.05,1.05,1.22,1.22,1697796373.568878,-0.0069747614468074,0.0049755704851772,0.3355780939274934,0.9419734281162594,-0.3193787144712224,0.1551302010076294,-0.4265513982835074,0.8318568158646212
2608,2608,2023-10-20 12:06:15.066621,1697796375.066621,1.92,1.92,1.39,1.4,1.05,1.05,1.23,1.22,1697796375.069217,-0.0068054994853466,0.0051567577698623,0.3355586253919164,0.9419806271633964,-0.2941551788770224,0.2041517305278605,-0.43249157169207,0.8274937112012574
2615,2615,2023-10-20 12:06:16.536396,1697796376.536396,2.09,2.09,1.39,1.4,1.05,1.05,1.23,1.22,1697796376.569556,-0.0066409821614993,0.0052550626525682,0.3355392103894325,0.941988174004156,-0.3054215730878001,0.1548337747951438,-0.3964019973128364,0.8518272250883123
2621,2621,2023-10-20 12:06:17.797000,1697796377.797,1.81,1.05,1.58,1.57,1.05,1.05,1.22,1.22,1697796377.769829,-0.006693689438678,0.0052379674274729,0.3355649196619604,0.9419787380356254,-0.3300907271837041,0.1338295529061633,-0.3915793635189487,0.8484075463256824
2627,2627,2023-10-20 12:06:19.057034,1697796379.057034,1.05,1.22,1.57,1.57,1.04,1.05,1.22,1.22,1697796379.070123,-0.0066898026732299,0.0052625268969098,0.3355770018294426,0.9419743245938368,-0.3111460494656128,0.1390412895359422,-0.3965717158295813,0.8524004516130353
2636,2636,2023-10-20 12:06:20.946632,1697796380.946632,1.39,1.4,1.57,1.57,1.04,1.05,1.22,1.22,1697796380.970553,-0.006908572529532,0.0050301414901541,0.3356148316801283,0.9419605374210284,-0.3476847068323691,0.1572171971021438,-0.4051572514291816,0.8308102666581499
2644,2644,2023-10-20 12:06:22.626875,1697796382.626875,1.57,1.57,1.57,1.57,1.05,1.05,1.22,1.22,1697796382.670937,-0.0070820115114775,0.005052458301416,0.3356560464675361,0.9419444443531938,-0.3859475514113571,0.1655480273031243,-0.3863401883123656,0.8212061842864968
2651,2651,2023-10-20 12:06:24.096773,1697796384.096773,1.75,1.75,1.57,1.57,1.05,1.05,1.22,1.22,1697796384.071254,-0.0069936240127368,0.0050874685617814,0.3355766278087415,0.9419732128650552,-0.3378461948216587,0.1495837693092447,-0.3979477263691419,0.8397155778484731
2656,2656,2023-10-20 12:06:25.147570,1697796385.14757,1.75,1.92,1.57,1.57,1.05,1.05,1.22,1.22,1697796385.171503,-0.0068616749579511,0.0052187403902714,0.3355453914829489,0.941984592453648,-0.342758139793737,0.1478474426953928,-0.3939143257531002,0.8399342207935392
2663,2663,2023-10-20 12:06:26.617228,1697796386.617228,1.92,2.09,1.57,1.57,1.05,1.05,1.22,1.22,1697796386.571819,-0.0068406909132466,0.0052414334967403,0.3355583408676009,0.9419800062617634,-0.3425761125225388,0.1560485235698493,-0.384419414540267,0.842918844934157
2672,2672,2023-10-20 12:06:28.506330,1697796388.50633,1.65,1.05,1.75,1.75,1.05,1.05,1.22,1.22,1697796388.472249,-0.0066515948217087,0.005243430014143,0.3355390841328509,0.9419882089215884,-0.3622911542164456,0.1244520847000687,-0.3611996368300234,0.8501715241903729
2680,2680,2023-10-20 12:06:30.186990,1697796390.18699,1.22,1.22,1.74,1.75,1.05,1.05,1.22,1.22,1697796390.172634,-0.0067425025255783,0.0052296881042976,0.3355623696643027,0.941979344299705,-0.3935658894162129,0.1589434635544412,-0.3485144332518428,0.8356916631727819
2687,2687,2023-10-20 12:06:31.656206,1697796391.656206,1.39,1.4,1.75,1.75,1.05,1.05,1.22,1.22,1697796391.672974,-0.0068916512567801,0.0051988678345397,0.3355985222579927,0.9419655560446176,-0.2751102326135384,0.2218268395354397,-0.4163224768969402,0.8377247808221026
2694,2694,2023-10-20 12:06:33.127013,1697796393.127013,1.57,1.57,1.75,1.75,1.05,1.05,1.22,1.22,1697796393.173313,-0.0068176211786167,0.0051667929202078,0.335542965291833,0.941986062920014,-0.3997634940918843,0.1196249107266498,-0.3472306237806334,0.8398273176278569
2699,2699,2023-10-20 12:06:34.176343,1697796394.176343,1.57,1.75,1.75,1.75,1.05,1.05,1.22,1.22,1697796394.173539,-0.0070056835570636,0.0051535975913956,0.3356219759930283,0.9419566073128314,-0.3993994331490034,0.1201253435197401,-0.3473789520699739,0.8398677623907742
2708,2708,2023-10-20 12:06:36.067310,1697796396.06731,1.92,1.92,1.74,1.75,1.05,1.05,1.22,1.22,1697796396.073969,-0.006663204710121,0.0053466828434086,0.335562164304826,0.941979324917816,-0.3922536887961947,0.1473446136021134,-0.3385687142302851,0.8424950054526575
2716,2716,2023-10-20 12:06:37.747136,1697796397.747136,2.09,2.09,1.74,1.75,1.05,1.05,1.22,1.22,1697796397.774354,-0.0064751632868862,0.0054090522656402,0.3354965309811147,0.9420036582273096,-0.3223586229507637,0.1796139971060723,-0.3571700633010248,0.8580520241421316
2721,2721,2023-10-20 12:06:38.797029,1697796398.797029,2.01,1.05,1.78,1.92,1.05,1.05,1.22,1.22,1697796398.77458,-0.0063619456342283,0.0053813518556633,0.3354687463876173,0.9420144833796736,-0.3338636528741789,0.1447487056918939,-0.3537052441656835,0.8616701652835183
2728,2728,2023-10-20 12:06:40.267622,1697796400.267622,1.06,1.22,1.92,1.92,1.05,1.05,1.22,1.22,1697796400.27492,-0.00657481801896,0.0054603396881792,0.3355331493261685,0.9419896295404586,-0.3398676684218567,0.1737367435496979,-0.3282237784226408,0.8640455214745358
2737,2737,2023-10-20 12:06:42.157389,1697796402.157389,1.39,1.4,1.92,1.92,1.05,1.05,1.22,1.22,1697796402.17535,-0.0068803199075172,0.0052592432203847,0.3355686647697607,0.9419759406605666,-0.4010739838796679,0.1583387790403933,-0.3137379591173259,0.8459532986612113
2745,2745,2023-10-20 12:06:43.837833,1697796403.837833,1.57,1.57,1.92,1.92,1.05,1.05,1.22,1.22,1697796403.875735,-0.0070167649342705,0.0052651710512462,0.3355792820778699,0.9419711186781472,-0.3822427206996718,0.1581131572036348,-0.3257868796139553,0.8501491875327609
2752,2752,2023-10-20 12:06:45.308068,1697796405.308068,1.75,1.75,1.92,1.92,1.05,1.05,1.23,1.22,1697796405.276051,-0.0069668998061926,0.0052376495569595,0.3355466481333656,0.9419832675056772,-0.3934231168437009,0.1595565301492783,-0.3145246278742316,0.8490195658995653
2759,2759,2023-10-20 12:06:46.778417,1697796406.778417,1.92,1.92,1.92,1.92,1.05,1.05,1.23,1.22,1697796406.77639,-0.0066168350229283,0.0054325173943122,0.3354924408020318,0.9420039954340612,-0.435270762429189,0.1954693872739201,-0.277914622296268,0.8337233022574058
2764,2764,2023-10-20 12:06:47.828066,1697796407.828066,1.92,2.09,1.92,1.92,1.05,1.05,1.22,1.22,1697796407.87664,-0.006452681139694,0.0055324201118498,0.3354916850143748,0.9420048219197348,-0.4024366734340134,0.1666347067040865,-0.2920721759236079,0.8514525485593765
2771,2771,2023-10-20 12:06:49.297433,1697796409.297433,2.09,1.05,1.92,2.09,1.05,1.05,1.22,1.22,1697796409.276956,-0.0064707363493533,0.0055092832951955,0.3354923417028839,0.9420045997909914,-0.334993342806939,0.1351026152892911,-0.3189502981651954,0.8762405211569249
2781,2781,2023-10-20 12:06:51.397233,1697796411.397233,1.21,1.22,2.01,2.09,1.05,1.05,1.22,1.22,1697796411.377432,-0.0067314302624027,0.0052466517439659,0.3354906713409357,0.9420048672566976,-0.3767571690503614,0.160520833665153,-0.3038219852177899,0.8602204943076646
