level_0,index,datetime,timestamp,joint_angle_1,joint_angle_des_1,joint_angle_2,joint_angle_des_2,joint_angle_3,joint_angle_des_3,joint_angle_4,joint_angle_des_4,timestamp_vicon,ee_base_ori_x,ee_base_ori_y,ee_base_ori_z,ee_base_ori_w,ee_top_ori_x,ee_top_ori_y,ee_top_ori_z,ee_top_ori_w,ee_base_pos_x,ee_base_pos_y,ee_base_pos_z,ee_top_pos_x,ee_top_pos_y,ee_top_pos_z
42,42,2023-10-24 10:43:48.609485,1698137028.609485,2.04,2.03,1.05,1.04,1.99,1.99,1.11,1.11,1698137028.591431,0.0307843172786235,-0.0293448934689398,0.9419587769012332,-0.3330238214538388,0.0406218770072945,-0.0266147616841332,0.9402157925019828,0.3370990671876289,152.8740156678448,329.2833520027814,41.26475577496,150.04660849360718,341.9256332979233,119.63667298641651
43,43,2023-10-24 10:43:48.821633,1698137028.821633,2.04,2.03,1.05,1.04,1.99,1.99,1.11,1.11,1698137028.791479,0.0307392099512842,-0.0293819545294633,0.9419603743747762,-0.333020201830656,0.0402930695472972,-0.0268498742402563,0.9402299988919344,0.3370802604475854,152.8692997059071,329.286274157941,41.25691558592776,150.04154751523822,341.9287073917843,119.63702424431708
44,44,2023-10-24 10:43:49.031937,1698137029.031937,2.04,2.03,1.05,1.04,1.99,1.99,1.11,1.11,1698137028.991526,0.0307623415954792,-0.0294075492988525,0.9419563138653017,-0.3330272919042701,0.040346503717797,-0.0266868739167787,0.9402042714013292,0.337158565717965,152.872102665951,329.28838887188164,41.260487538932864,150.0492221011179,341.94065256262456,119.64208165759112
45,45,2023-10-24 10:43:49.242927,1698137029.242927,2.04,2.03,1.05,1.04,1.99,1.99,1.11,1.11,1698137029.291596,0.0307621748389877,-0.0293683673519589,0.9419567147167388,-0.3330296311115639,0.0405050590079716,-0.0265878637047075,0.9401920451903,0.3371814702193186,152.87055152255965,329.2878975447458,41.27180518175596,150.05343650595916,341.94925368729616,119.65047136548628
46,46,2023-10-24 10:43:49.453859,1698137029.453859,2.04,2.03,1.05,1.04,1.99,1.99,1.11,1.11,1698137029.491643,0.0307003397180002,-0.0293531225177282,0.9419570318869448,-0.3330357839908434,0.0403943457996426,-0.0265801958253718,0.9401991480991732,0.3371755506125745,152.8714569954415,329.2928240269826,41.25898158511141,150.1038559314754,341.9611779776167,119.65093905271756
47,47,2023-10-24 10:43:49.665501,1698137029.665501,2.04,2.03,1.05,1.04,1.99,1.99,1.11,1.11,1698137029.69169,0.0304038635876103,-0.0306555506155318,0.9419778122601584,-0.3328868328801398,0.0425378625238296,-0.0242209144440589,0.9378236596246649,0.3436432176016259,152.86407068754932,329.4533696893824,41.269991889917,150.13021848263716,342.6098077096331,119.63461031616768
48,48,2023-10-24 10:43:49.866391,1698137029.866391,2.03,2.03,1.03,1.04,1.99,1.99,1.11,1.11,1698137029.891737,0.0303967293006968,-0.0308254634514481,0.941980569561926,-0.3328639905706426,0.0430263859035626,-0.0243061221475209,0.9379638009978104,0.3431936050685784,152.86116326434754,329.45815316940525,41.28053304770182,150.1699199095663,342.6203465219233,119.65982801460125
49,49,2023-10-24 10:43:50.077694,1698137030.077694,2.03,2.03,1.03,1.04,1.99,1.99,1.11,1.11,1698137030.091784,0.0305206704690514,-0.030947083009404,0.941988167986866,-0.3328198583319159,0.0448201418462742,-0.0227335641131623,0.9377429148811094,0.343675087165004,152.87062511915457,329.4630752992172,41.28999820244515,150.3841184492336,342.6984743562262,119.63208275594222
50,50,2023-10-24 10:43:50.288200,1698137030.2882,2.03,2.03,1.03,1.04,1.99,1.99,1.11,1.11,1698137030.291831,0.0304429526969676,-0.030951317844697,0.9419954977546704,-0.3328058364342453,0.0443709968643361,-0.0209602053901245,0.937611066209168,0.3442054226030965,152.8600638343853,329.46899774854114,41.2808536230367,150.40294903578163,342.7046265606775,119.59747177484552
51,51,2023-10-24 10:43:50.500447,1698137030.500447,2.03,2.03,1.03,1.04,1.99,1.99,1.11,1.11,1698137030.491878,0.0303842337656382,-0.030793503181429,0.9419790049011396,-0.3328725173782736,0.0457002090257296,-0.0222805514918147,0.9375526174239828,0.3441077701558982,152.8663447669751,329.45631251340933,41.27870646212476,150.37007167491487,342.6758010746345,119.62271616419314
